devicename,deviceid,timestamp,incr,tokenid,seqnb,timestamp1,otl,otl_Unit,tt,tt_Unit,oga,oga_Unit,devicelist,ole,size_Unit,owi,ohe,oa,oa_Unit,obv,obv_Unit,orv,orv_Unit,otve,otve_Unit,speed,speed_Unit,owe,owe_Unit,TooBig,NoRead,LFT,MultiRead,Irreg,TooSmall,Gap,ValidDim,ValidRead,Clipping,PeError
0089PS06CT1,32.0,2017-07-21T22:58:02.913,62314.0,0089PS06CT12017-07-21T22:58:00926,2433.0,2017-07-21T22:58:00.861,43.66,inch,403.0,ms,169.17,inch,FC300008,42.6,inch,12.8,8.8,-13.0,degree/10,47985.0,inch3/10,0.0,inch3/10,2781.0,mm/sec,540.35,ft/min,68.6,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-21T22:58:04.656,1428.0,0089PS06CT12017-07-21T22:58:02927,2434.0,2017-07-21T22:58:02.596,29.68,inch,275.0,ms,157.67,inch,FC300008,28.0,inch,20.2,18.4,-35.0,degree/10,104070.0,inch3/10,0.0,inch3/10,2767.0,mm/sec,540.35,ft/min,6.0,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-21T22:58:05.116,2658.0,0089PS06CT12017-07-21T22:58:03928,2435.0,2017-07-21T22:58:03.073,19.37,inch,180.0,ms,32.12,inch,FC300008,18.8,inch,12.2,7.8,-19.0,degree/10,17890.0,inch3/10,0.0,inch3/10,2772.0,mm/sec,540.35,ft/min,39.1,LB,0,1,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-21T22:58:05.607,3963.0,0089PS06CT12017-07-21T22:58:03929,2436.0,2017-07-21T22:58:03.551,13.93,inch,129.0,ms,37.59,inch,FC300008,13.4,inch,11.8,5.8,-17.0,degree/10,9171.0,inch3/10,0.0,inch3/10,2759.0,mm/sec,540.35,ft/min,2.5,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-21T22:58:05.849,4608.0,0089PS06CT12017-07-21T22:58:03930,2437.0,2017-07-21T22:58:03.803,7.24,inch,67.0,ms,20.0,inch,FC300008,6.2,inch,7.0,6.4,829.0,degree/10,2778.0,inch3/10,0.0,inch3/10,2783.0,mm/sec,540.35,ft/min,0.9,LB,0,1,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-21T22:58:06.140,5388.0,0089PS06CT12017-07-21T22:58:04931,2438.0,2017-07-21T22:58:04.095,10.9,inch,101.0,ms,20.59,inch,FC300008,9.2,inch,13.2,5.2,778.0,degree/10,6315.0,inch3/10,0.0,inch3/10,2738.0,mm/sec,540.35,ft/min,1.2,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-21T22:58:06.483,6303.0,0089PS06CT12017-07-21T22:58:04932,2439.0,2017-07-21T22:58:04.442,14.52,inch,138.0,ms,22.4,inch,FC300008,14.2,inch,10.6,5.2,-1.0,degree/10,7827.0,inch3/10,0.0,inch3/10,2762.0,mm/sec,540.35,ft/min,2.6,LB,0,1,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-21T22:58:06.846,7278.0,0089PS06CT12017-07-21T22:58:04933,2440.0,2017-07-21T22:58:04.806,16.92,inch,157.0,ms,22.48,inch,FC300008,16.8,inch,23.4,1.4,-900.0,degree/10,5504.0,inch3/10,0.0,inch3/10,2807.0,mm/sec,540.35,ft/min,1.2,LB,0,0,0,0,1,1,0,0,1,0,0
0089PS06CT1,32.0,2017-07-21T22:58:07.375,8688.0,0089PS06CT12017-07-21T22:58:05934,2441.0,2017-07-21T22:58:05.317,32.71,inch,304.0,ms,22.4,inch,FC300008,30.2,inch,34.8,8.8,-862.0,degree/10,92484.0,inch3/10,0.0,inch3/10,2789.0,mm/sec,540.35,ft/min,0.0,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-21T22:58:07.754,9708.0,0089PS06CT12017-07-21T22:58:05935,2442.0,2017-07-21T22:58:05.705,19.37,inch,179.0,ms,22.4,inch,FC300008,18.8,inch,12.0,7.8,-12.0,degree/10,17597.0,inch3/10,0.0,inch3/10,2783.0,mm/sec,540.35,ft/min,43.6,LB,0,0,1,0,0,0,0,1,1,0,0
