devicename,deviceid,timestamp,incr,tokenid,seqnb,timestamp1,otl,otl_Unit,tt,tt_Unit,oga,oga_Unit,devicelist,ole,size_Unit,owi,ohe,oa,oa_Unit,obv,obv_Unit,orv,orv_Unit,otve,otve_Unit,speed,speed_Unit,owe,owe_Unit,TooBig,NoRead,LFT,MultiRead,Irreg,TooSmall,Gap,ValidDim,ValidRead,Clipping,PeError
0089PS06CT1,32.0,2017-07-28T22:58:35.475,12128.0,0089PS06CT12017-07-28T22:56:19754,5851.0,2017-07-28T22:56:19.179,12.12,inch,113.0,ms,81.85,inch,FC300008,12.0,inch,10.4,6.8,-12.0,degree/10,8486.0,inch3/10,0.0,inch3/10,2746.0,mm/sec,466.34,ft/min,2.6,LB,0,1,0,0,0,0,0,1,0,0,0
0089PS06CT1,32.0,2017-07-28T22:58:35.974,13463.0,0089PS06CT12017-07-28T22:56:19755,5852.0,2017-07-28T22:56:19.668,17.55,inch,163.0,ms,35.15,inch,FC300008,16.6,inch,12.4,6.6,-28.0,degree/10,13585.0,inch3/10,0.0,inch3/10,2738.0,mm/sec,551.18,ft/min,-1,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-28T22:58:39.266,22253.0,0089PS06CT12017-07-28T22:58:37756,5853.0,2017-07-28T22:58:37.213,11.49,inch,107.0,ms,342.63,inch,FC300008,10.4,inch,12.0,6.8,-852.0,degree/10,8486.0,inch3/10,0.0,inch3/10,2746.0,mm/sec,541.34,ft/min,3.1,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-28T22:58:39.608,23153.0,0089PS06CT12017-07-28T22:58:37757,5854.0,2017-07-28T22:58:37.568,12.71,inch,119.0,ms,25.47,inch,FC300008,12.6,inch,16.0,6.6,887.0,degree/10,13306.0,inch3/10,0.0,inch3/10,2762.0,mm/sec,541.34,ft/min,2.2,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-28T22:58:41.485,28163.0,0089PS06CT12017-07-28T22:58:39758,5855.0,2017-07-28T22:58:39.428,21.22,inch,196.0,ms,179.48,inch,FC300008,18.2,inch,12.6,12.8,-177.0,degree/10,29353.0,inch3/10,0.0,inch3/10,2767.0,mm/sec,541.34,ft/min,11.5,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-28T22:58:42.501,30878.0,0089PS06CT12017-07-28T22:58:40759,5856.0,2017-07-28T22:58:40.446,13.3,inch,123.0,ms,96.41,inch,FC300008,12.6,inch,12.8,9.6,-890.0,degree/10,15483.0,inch3/10,0.0,inch3/10,2773.0,mm/sec,541.34,ft/min,6.8,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-28T22:58:44.298,35678.0,0089PS06CT12017-07-28T22:58:42760,5857.0,2017-07-28T22:58:42.258,23.62,inch,219.0,ms,171.61,inch,FC300008,22.0,inch,20.6,6.6,23.0,degree/10,29911.0,inch3/10,0.0,inch3/10,2762.0,mm/sec,541.34,ft/min,22.8,LB,0,1,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-28T22:58:44.957,37433.0,0089PS06CT12017-07-28T22:58:42761,5858.0,2017-07-28T22:58:42.905,16.33,inch,152.0,ms,53.34,inch,FC300008,13.2,inch,12.4,5.2,-151.0,degree/10,8511.0,inch3/10,0.0,inch3/10,2765.0,mm/sec,541.34,ft/min,8.6,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-28T22:58:46.147,40613.0,0089PS06CT12017-07-28T22:58:44762,5859.0,2017-07-28T22:58:44.096,30.9,inch,286.0,ms,97.63,inch,FC300008,27.0,inch,15.6,10.4,361.0,degree/10,43805.0,inch3/10,0.0,inch3/10,2762.0,mm/sec,541.34,ft/min,22.9,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-28T22:58:46.565,41723.0,0089PS06CT12017-07-28T22:58:44763,5860.0,2017-07-28T22:58:44.523,12.12,inch,112.0,ms,33.93,inch,FC300008,12.0,inch,9.6,4.8,-33.0,degree/10,5530.0,inch3/10,0.0,inch3/10,2773.0,mm/sec,541.34,ft/min,1.1,LB,0,1,1,0,0,0,0,1,1,0,0
