devicename,deviceid,timestamp,incr,tokenid,seqnb,timestamp1,otl,otl_Unit,tt,tt_Unit,oga,oga_Unit,devicelist,ole,size_Unit,owi,ohe,oa,oa_Unit,obv,obv_Unit,orv,orv_Unit,otve,otve_Unit,speed,speed_Unit,owe,owe_Unit,TooBig,NoRead,LFT,MultiRead,Irreg,TooSmall,Gap,ValidDim,ValidRead,Clipping,PeError
0089PS06CT1,32.0,2017-08-04T22:58:03.801,8583.0,0089PS06CT12017-08-04T22:58:01227,4730.0,2017-08-04T22:58:01.739,16.96,inch,158.0,ms,601.02,inch,FC300008,16.2,inch,12.6,10.6,-24.0,degree/10,21637.0,inch3/10,0.0,inch3/10,2757.0,mm/sec,538.58,ft/min,11.1,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-08-04T22:58:04.993,11763.0,0089PS06CT12017-08-04T22:58:02228,4731.0,2017-08-04T22:58:02.931,44.84,inch,416.0,ms,83.66,inch,FC300008,44.4,inch,23.6,5.2,-2.0,degree/10,54488.0,inch3/10,0.0,inch3/10,2754.0,mm/sec,538.58,ft/min,11.6,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-08-04T22:58:05.457,13008.0,0089PS06CT12017-08-04T22:58:03229,4732.0,2017-08-04T22:58:03.398,12.71,inch,118.0,ms,37.59,inch,FC300008,12.2,inch,12.4,9.6,870.0,degree/10,14523.0,inch3/10,0.0,inch3/10,2751.0,mm/sec,538.58,ft/min,4.8,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-08-04T22:58:06.055,14613.0,0089PS06CT12017-08-04T22:58:04230,4733.0,2017-08-04T22:58:04.018,14.52,inch,135.0,ms,52.12,inch,FC300008,14.0,inch,12.6,10.6,5.0,degree/10,18698.0,inch3/10,0.0,inch3/10,2773.0,mm/sec,538.58,ft/min,29.6,LB,0,1,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-08-04T22:58:07.561,18618.0,0089PS06CT12017-08-04T22:58:05231,4734.0,2017-08-04T22:58:05.500,57.59,inch,534.0,ms,102.48,inch,FC300008,56.2,inch,16.2,2.4,-12.0,degree/10,21851.0,inch3/10,0.0,inch3/10,2818.0,mm/sec,538.58,ft/min,-1,LB,0,0,0,0,1,0,0,0,1,0,0
0089PS06CT1,32.0,2017-08-04T22:58:08.492,21108.0,0089PS06CT12017-08-04T22:58:06232,4735.0,2017-08-04T22:58:06.427,38.18,inch,354.0,ms,61.85,inch,FC300008,37.0,inch,30.8,4.8,-23.0,degree/10,54701.0,inch3/10,0.0,inch3/10,2746.0,mm/sec,538.58,ft/min,4.2,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-08-04T22:58:09.357,23418.0,0089PS06CT12017-08-04T22:58:07233,4736.0,2017-08-04T22:58:07.316,52.12,inch,485.0,ms,43.66,inch,FC300008,51.8,inch,5.6,3.6,-11.0,degree/10,10443.0,inch3/10,0.0,inch3/10,2762.0,mm/sec,538.58,ft/min,0.0,LB,0,1,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-08-04T22:58:10.532,26553.0,0089PS06CT12017-08-04T22:58:08234,4737.0,2017-08-04T22:58:08.511,29.09,inch,270.0,ms,93.97,inch,FC300008,28.0,inch,20.6,18.0,-40.0,degree/10,103824.0,inch3/10,0.0,inch3/10,2759.0,mm/sec,538.58,ft/min,22.2,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-08-04T22:58:12.226,31068.0,0089PS06CT12017-08-04T22:58:10235,4738.0,2017-08-04T22:58:10.167,36.37,inch,337.0,ms,147.95,inch,FC300008,36.4,inch,12.6,6.8,-22.0,degree/10,31188.0,inch3/10,0.0,inch3/10,2767.0,mm/sec,538.58,ft/min,0.0,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-08-04T22:58:13.215,33708.0,0089PS06CT12017-08-04T22:58:11236,4739.0,2017-08-04T22:58:11.145,9.68,inch,90.0,ms,95.78,inch,FC300008,9.4,inch,7.0,5.8,-16.0,degree/10,3816.0,inch3/10,0.0,inch3/10,2746.0,mm/sec,538.58,ft/min,2.0,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-08-04T22:58:13.506,34473.0,0089PS06CT12017-08-04T22:58:11237,4740.0,2017-08-04T22:58:11.450,12.12,inch,113.0,ms,20.59,inch,FC300008,11.4,inch,9.2,7.2,14.0,degree/10,7551.0,inch3/10,0.0,inch3/10,2767.0,mm/sec,538.58,ft/min,7.2,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-08-04T22:58:13.881,35478.0,0089PS06CT12017-08-04T22:58:11238,4741.0,2017-08-04T22:58:11.827,6.65,inch,62.0,ms,33.93,inch,FC300008,6.0,inch,6.6,4.4,867.0,degree/10,1742.0,inch3/10,0.0,inch3/10,2746.0,mm/sec,538.58,ft/min,0.6,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-08-04T22:58:14.300,36588.0,0089PS06CT12017-08-04T22:58:12239,4742.0,2017-08-04T22:58:12.245,21.81,inch,202.0,ms,21.81,inch,FC300008,21.4,inch,20.2,18.4,-28.0,degree/10,79540.0,inch3/10,0.0,inch3/10,2799.0,mm/sec,538.58,ft/min,8.6,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-08-04T22:58:14.989,38433.0,0089PS06CT12017-08-04T22:58:12240,4743.0,2017-08-04T22:58:12.924,6.65,inch,62.0,ms,67.91,inch,FC300008,6.0,inch,4.4,6.4,27.0,degree/10,1690.0,inch3/10,0.0,inch3/10,2736.0,mm/sec,538.58,ft/min,0.4,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-08-04T22:58:15.221,39048.0,0089PS06CT12017-08-04T22:58:13241,4744.0,2017-08-04T22:58:13.174,6.65,inch,62.0,ms,20.0,inch,FC300008,6.4,inch,6.6,4.4,-835.0,degree/10,1859.0,inch3/10,0.0,inch3/10,2746.0,mm/sec,538.58,ft/min,0.4,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-08-04T22:58:15.512,39828.0,0089PS06CT12017-08-04T22:58:13242,4745.0,2017-08-04T22:58:13.464,7.24,inch,68.0,ms,24.25,inch,FC300008,6.4,inch,6.4,4.4,879.0,degree/10,1802.0,inch3/10,0.0,inch3/10,2738.0,mm/sec,538.58,ft/min,0.6,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-08-04T22:58:15.817,40638.0,0089PS06CT12017-08-04T22:58:13243,4746.0,2017-08-04T22:58:13.762,11.49,inch,106.0,ms,20.59,inch,FC300008,11.2,inch,15.4,3.4,890.0,degree/10,5864.0,inch3/10,0.0,inch3/10,2751.0,mm/sec,538.58,ft/min,2.0,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-08-04T22:58:16.193,41643.0,0089PS06CT12017-08-04T22:58:14244,4747.0,2017-08-04T22:58:14.133,16.96,inch,158.0,ms,23.03,inch,FC300008,16.4,inch,18.2,14.8,-896.0,degree/10,44175.0,inch3/10,0.0,inch3/10,2767.0,mm/sec,538.58,ft/min,4.6,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-08-04T22:58:16.512,42498.0,0089PS06CT12017-08-04T22:58:14245,4748.0,2017-08-04T22:58:14.465,16.33,inch,151.0,ms,19.37,inch,FC300008,15.2,inch,11.8,9.8,-22.0,degree/10,17577.0,inch3/10,0.0,inch3/10,2762.0,mm/sec,538.58,ft/min,3.2,LB,0,1,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-08-04T22:58:17.286,44554.0,0089PS06CT12017-08-04T22:58:15246,4749.0,2017-08-04T22:58:15.242,37.59,inch,349.0,ms,44.25,inch,FC300008,37.0,inch,30.8,5.0,-3.0,degree/10,56980.0,inch3/10,0.0,inch3/10,2778.0,mm/sec,538.58,ft/min,10.2,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-08-04T22:58:17.852,46068.0,0089PS06CT12017-08-04T22:58:15247,4750.0,2017-08-04T22:58:15.835,6.65,inch,62.0,ms,55.78,inch,FC300008,6.2,inch,6.4,4.4,889.0,degree/10,1746.0,inch3/10,0.0,inch3/10,2749.0,mm/sec,538.58,ft/min,0.6,LB,0,0,1,0,0,0,0,1,1,0,0
